model,split,calibration_method,probability_column,n,event_count,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss,reliability,resolution,uncertainty,grouped_brier
regime_aware_logit,test,primary,p,3990105,26987,0.006763481161523318,0.011216182835786808,0.8556178088155363,0.20767124104893347,0.005986948665471098,0.03211331018128652,3.348788354866844e-05,0.00013498520176812736,0.006717736484101037,0.006616239165881578
regime_aware_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.07317646113834456,0.8556178088155363,0.20767124104893347,0.019586836130831377,0.09742737602918257,0.01196330622359831,0.00013498520176812736,0.006717736484101037,0.01854605750593122
regime_aware_with_raw_macro_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.016241118571446524,0.8372701488301587,0.2017999873197959,0.007312195662431078,0.03869904447275862,0.0004912766985742335,0.00012179310745201219,0.006717736484101037,0.007087220075223258
regime_aware_with_raw_macro_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.01240422648555062,0.83696463300353,0.1954493657635512,0.006044011124459648,0.03285945745927109,8.865507400627272e-05,0.00012221622709776344,0.006717736484101037,0.006684175331009547
regime_aware_with_raw_macro_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.012094638918834949,0.8372701488301587,0.2017999873197959,0.0060236816199815985,0.03314129956177763,4.546692164187072e-05,0.00012179310745201219,0.006717736484101037,0.006641410298290896
regime_aware_with_raw_macro_logit,test,primary,p,3990105,26987,0.006763481161523318,0.012094638918834949,0.8372701488301587,0.2017999873197959,0.0060236816199815985,0.03314129956177763,4.546692164187072e-05,0.00012179310745201219,0.006717736484101037,0.006641410298290896
regime_aware_with_raw_macro_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.02742695244626578,0.8372701488301587,0.2017999873197959,0.009069914753478191,0.0488805957167134,0.0017615477632044454,0.00012179310745201219,0.006717736484101037,0.00835749113985347
baseline_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.005605413355458074,0.8242979849071271,0.22110128043436703,0.013571135534892009,0.07209169589173643,0.00021727847857629307,0.0004959613724063069,0.015070264845791489,0.014791581951961475
baseline_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.005532651907023434,0.8218732544274396,0.21265919499967556,0.013574382065140852,0.07051630110704214,0.00028629295038935386,0.0005018749903404841,0.015070264845791489,0.014854682805840359
baseline_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.005539313112201493,0.8242979848769268,0.22110128043436703,0.013671351883509368,0.07050641140200019,0.00027715525518250665,0.0004959613724063069,0.015070264845791489,0.014851458728567688
baseline_logit,train,primary,p,8118858,124255,0.015304492331310635,0.005539313112201493,0.8242979848769268,0.22110128043436703,0.013671351883509368,0.07050641140200019,0.00027715525518250665,0.0004959613724063069,0.015070264845791489,0.014851458728567688
baseline_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.017100491768657855,0.8242979848769268,0.22110128043436703,0.013439755528642197,0.0640833596917474,2.8895228332580217e-05,0.0004959613724063069,0.015070264845791489,0.014603198701717762
baseline_plus_p_stress_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.004309049319935659,0.8313283429041356,0.23246042202621964,0.01360661323328009,0.07606234857349817,0.00030599106066794287,0.0005297193095030524,0.015070264845791489,0.014846536596956379
baseline_plus_p_stress_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.004537590214616674,0.8296082206784211,0.22332237900866,0.013670410473379446,0.07290537328937854,0.0003778661696702451,0.0005381523597603115,0.015070264845791489,0.014909978655701423
baseline_plus_p_stress_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.004324088816780562,0.8313283428110183,0.2324604220262196,0.01377007180535563,0.0730339299371719,0.0003727763023547625,0.0005297193095030524,0.015070264845791489,0.014913321838643199
baseline_plus_p_stress_logit,train,primary,p,8118858,124255,0.015304492331310635,0.004324088816780562,0.8313283428110183,0.2324604220262196,0.01377007180535563,0.0730339299371719,0.0003727763023547625,0.0005297193095030524,0.015070264845791489,0.014913321838643199
baseline_plus_p_stress_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.017285046337785583,0.8313283428110183,0.23246042202621958,0.013341662552866184,0.06345806271968676,3.6830361818970426e-05,0.0005297193095030524,0.015070264845791489,0.014577375898107406
macro_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.017412424676858804,0.9033603131027902,0.2659322655635245,0.012801282794811896,0.055511098742979985,8.490295442440354e-06,0.0009659611764784788,0.015070264845791489,0.014112793964755451
macro_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.01695801032512185,0.9032499110962786,0.2556707720424088,0.012869209531851366,0.055976371327174146,1.8783194369810902e-05,0.00096585629179596,0.015070264845791489,0.01412319174836534
macro_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.0153515531919801,0.9033603131027902,0.2659322655635245,0.012829673259862479,0.0557422230266909,2.544420756742306e-05,0.0009659611764784788,0.015070264845791489,0.014129747876880433
macro_logit,train,primary,p,8118858,124255,0.015304492331310635,0.0153515531919801,0.9033603131027902,0.2659322655635245,0.012829673259862479,0.0557422230266909,2.544420756742306e-05,0.0009659611764784788,0.015070264845791489,0.014129747876880433
macro_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.01505575133485161,0.9033603131027902,0.2659322655635245,0.01279224528574521,0.055352480170673964,4.64813872263234e-06,0.0009659611764784788,0.015070264845791489,0.014108951808035642
regime_aware_dynamic_stress_robustness_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.004937909343068696,0.8341573235074046,0.242278852787463,0.013446517341314012,0.0742487098417433,0.0002634261478191115,0.0005454393319979609,0.015070264845791489,0.01478825166161264
regime_aware_dynamic_stress_robustness_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.004833560563353298,0.8325312603743078,0.23479746875902116,0.013569992003721876,0.07130918224684694,0.00036757563549203603,0.0005588734688178885,0.015070264845791489,0.014878967012465636
regime_aware_dynamic_stress_robustness_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.004917388636664208,0.8341573235048879,0.242278852787463,0.013668079630413861,0.07119442666377415,0.00034858315467351485,0.0005454393319979609,0.015070264845791489,0.014873408668467043
regime_aware_dynamic_stress_robustness_logit,train,primary,p,8118858,124255,0.015304492331310635,0.004917388636664208,0.8341573235048879,0.242278852787463,0.013668079630413861,0.07119442666377415,0.00034858315467351485,0.0005454393319979609,0.015070264845791489,0.014873408668467043
regime_aware_dynamic_stress_robustness_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.017440443853892332,0.8341573235048879,0.24227885278746303,0.013329900052662044,0.06351719840570276,4.375922737403611e-05,0.0005454393319979609,0.015070264845791489,0.014568584741167564
regime_aware_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.004293654011333316,0.8318882312300405,0.23836918805313034,0.013534017169067186,0.07718805112574242,0.0002991919975241285,0.000530760337416507,0.015070264845791489,0.014838696505899111
regime_aware_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.004376563383325551,0.8291829583703604,0.22953216473205657,0.01366102726353574,0.07346872007354464,0.00039012337433612783,0.0005363421491618218,0.015070264845791489,0.014924046070965796
regime_aware_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.004307120770491067,0.8318882312250072,0.23836918805313037,0.013765180216474276,0.07321831872795682,0.0003779604835205049,0.000530760337416507,0.015070264845791489,0.014917464991895486
regime_aware_logit,train,primary,p,8118858,124255,0.015304492331310635,0.004307120770491067,0.8318882312250072,0.23836918805313037,0.013765180216474276,0.07321831872795682,0.0003779604835205049,0.000530760337416507,0.015070264845791489,0.014917464991895486
regime_aware_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.01760808588081079,0.8318882312250072,0.2383691880531304,0.013382906920123804,0.06383450465529682,4.987787490974502e-05,0.000530760337416507,0.015070264845791489,0.014589382383284727
regime_aware_with_raw_macro_logit,train,intercept_only,p_intercept_only,8118858,124255,0.015304492331310635,0.011289422196801903,0.9036522258043858,0.28539089419981045,0.012990387799615819,0.058475835034617646,5.1657310807731545e-05,0.0009635511684292367,0.015070264845791489,0.014158370988169983
regime_aware_with_raw_macro_logit,train,isotonic,p_isotonic,8118858,124255,0.015304492331310635,0.009203074210401988,0.9033795057566825,0.2771053048741856,0.012938927226215313,0.058515929025002765,0.0002795252106798737,0.000963450783562351,0.015070264845791489,0.014386339272909011
regime_aware_with_raw_macro_logit,train,platt,p_platt,8118858,124255,0.015304492331310635,0.009024732748317735,0.9036522258043858,0.28539089419981045,0.013159383205441728,0.05931258269842182,0.0003392041149338857,0.0009635511684292367,0.015070264845791489,0.014445917792296138
regime_aware_with_raw_macro_logit,train,primary,p,8118858,124255,0.015304492331310635,0.009024732748317735,0.9036522258043858,0.28539089419981045,0.013159383205441728,0.05931258269842182,0.0003392041149338857,0.0009635511684292367,0.015070264845791489,0.014445917792296138
regime_aware_with_raw_macro_logit,train,raw,p_raw,8118858,124255,0.015304492331310635,0.018174412989454828,0.9036522258043858,0.28539089419981045,0.013173858492411454,0.05785695481401036,5.855384342775689e-05,0.0009635511684292367,0.015070264845791489,0.014165267520790009
baseline_logit,val,intercept_only,p_intercept_only,3074851,15821,0.005145289966895957,0.005145289973239509,0.8141481720143319,0.15719418907030877,0.00471970931290166,0.02641659946564307,4.7172832571116545e-06,5.935325263441979e-05,0.005118815958052517,0.005064179988675209
baseline_logit,val,isotonic,p_isotonic,3074851,15821,0.005145289966895957,0.005145290040720611,0.8149880095773371,0.15391696805405541,0.0046062042050331415,0.025706824353189186,8.051045278379876e-07,6.066685886082449e-05,0.005118815958052517,0.005058954203719531
baseline_logit,val,platt,p_platt,3074851,15821,0.005145289966895957,0.005152005160446055,0.8141481720143319,0.15719418907030872,0.0046461152542617715,0.02595015348216698,3.1980856478120375e-07,5.935325263441979e-05,0.005118815958052517,0.0050597825139828785
baseline_logit,val,primary,p,3074851,15821,0.005145289966895957,0.005152005160446055,0.8141481720143319,0.15719418907030872,0.0046461152542617715,0.02595015348216698,3.1980856478120375e-07,5.935325263441979e-05,0.005118815958052517,0.0050597825139828785
baseline_logit,val,raw,p_raw,3074851,15821,0.005145289966895957,0.018508751061242588,0.8141481720143319,0.15719418907030872,0.005818015293202142,0.03454098666472306,0.0006611563337802339,5.935325263441979e-05,0.005118815958052517,0.005720619039198331
baseline_plus_p_stress_logit,val,intercept_only,p_intercept_only,3074851,15821,0.005145289966895957,0.005145289979344462,0.8027419971036694,0.1505636943908952,0.00472700651856073,0.02696082030359394,8.521741980107907e-06,5.5520796932699435e-05,0.005118815958052517,0.005071816903099925
baseline_plus_p_stress_logit,val,isotonic,p_isotonic,3074851,15821,0.005145289966895957,0.005145290077795586,0.8038973004444457,0.1488172905765581,0.004628338437698542,0.026069834234310384,1.1202405686582116e-07,5.550486414977897e-05,0.005118815958052517,0.005063423117959604
