model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
regime_aware_logit,origin_2022_04,2022-04-01,163376,808,0.004945646851434727,0.005875637479677167,0.004840786167051491,0.029190820150652916,959.9381488797369,151.9381488797369,151.9381488797369
regime_aware_logit,origin_2022_04,2022-05-01,166614,814,0.004885543831850865,0.00602917500874349,0.0047700020002794915,0.028658514157589927,1004.5449649067879,190.54496490678787,190.54496490678787
regime_aware_logit,origin_2022_04,2022-06-01,169321,835,0.004931461543458874,0.0062558852143540095,0.004818977148253299,0.02909425248602964,1059.2527403796353,224.25274037963527,224.25274037963527
regime_aware_logit,origin_2022_04,2022-07-01,172501,850,0.004927507666622222,0.006508199649051594,0.0048582788543601076,0.02918652910084494,1122.670947661049,272.670947661049,272.670947661049
regime_aware_logit,origin_2022_04,2022-08-01,175882,916,0.005208037206763626,0.006815341523677417,0.005071092783441841,0.03015818982163636,1198.6958978674315,282.69589786743154,282.69589786743154
regime_aware_logit,origin_2022_04,2022-09-01,179158,935,0.00521885709820382,0.007150590063264803,0.00510696628147695,0.030139609217554666,1281.0854145543956,346.0854145543956,346.0854145543956
regime_aware_logit,origin_2022_04,2022-10-01,181677,966,0.005317128750474744,0.007503397456486799,0.005168323435250922,0.029965550822154186,1363.1947397021522,397.1947397021522,397.1947397021522
regime_aware_logit,origin_2022_04,2022-11-01,185262,1020,0.005505716228908249,0.008113604474152256,0.005330321467105661,0.03065141250341827,1503.142592090395,483.14259209039506,483.14259209039506
regime_aware_logit,origin_2022_04,2022-12-01,188203,1022,0.005430306636982407,0.008943031395527754,0.005292540568812594,0.030667137258490382,1683.1053377325097,661.1053377325097,661.1053377325097
regime_aware_logit,origin_2022_04,2023-01-01,191154,1066,0.005576655471504651,0.00967489188972987,0.00547547716532647,0.03190511440912048,1849.3942842894235,783.3942842894235,783.3942842894235
regime_aware_logit,origin_2022_04,2023-02-01,193586,1070,0.00552725920262829,0.010362419616027787,0.005463916775232417,0.03195988538264846,2006.0193637883553,936.0193637883553,936.0193637883553
regime_aware_logit,origin_2022_04,2023-03-01,196113,1106,0.005639605737508477,0.010775076987928662,0.005571956400605685,0.03277276886348504,2113.1326733336537,1007.1326733336537,1007.1326733336537
baseline_logit,origin_2023_04,2023-04-01,200066,1117,0.005583157558005858,0.0073060749866243665,0.005239291235233888,0.02838372365490273,1461.6971982739906,344.6971982739906,344.6971982739906
baseline_logit,origin_2023_04,2023-05-01,202454,1134,0.005601272387801674,0.0076121790374211505,0.005218062321273736,0.0284778012639455,1541.1160948420616,407.11609484206156,407.11609484206156
baseline_logit,origin_2023_04,2023-06-01,205586,1185,0.0057640111680756475,0.008112916704973876,0.00539968272180434,0.029277082278582823,1667.9020937087594,482.90209370875937,482.90209370875937
baseline_logit,origin_2023_04,2023-07-01,208458,1236,0.005929251935641712,0.008550805310282248,0.0055085098059760446,0.02975273875543099,1782.4837733708166,546.4837733708166,546.4837733708166
baseline_logit,origin_2023_04,2023-08-01,211302,1256,0.0059440989673547814,0.008851164169128527,0.005566670594180486,0.030284281915750645,1870.2686912651961,614.2686912651961,614.2686912651961
baseline_logit,origin_2023_04,2023-09-01,214272,1322,0.006169728195937874,0.009514769594979908,0.005738745050405522,0.031000757267169426,2038.748710655535,716.748710655535,716.748710655535
baseline_logit,origin_2023_04,2023-10-01,216233,1379,0.006377379955880925,0.009931361900539655,0.0059192394758318945,0.03178513575386017,2147.488177839391,768.488177839391,768.488177839391
baseline_logit,origin_2023_04,2023-11-01,219245,1412,0.006440283700882574,0.010632551229815853,0.005971083277429402,0.03211325009233851,2331.1336943809765,919.1336943809765,919.1336943809765
baseline_logit,origin_2023_04,2023-12-01,221251,1516,0.006851946431880534,0.01129145540520549,0.006317997370306393,0.033768952701466536,2498.24579985712,982.2457998571199,982.2457998571199
baseline_logit,origin_2023_04,2024-01-01,223304,1595,0.007142729194282234,0.01156523538393785,0.006648721364608215,0.035465890268137415,2582.5633221748576,987.5633221748576,987.5633221748576
baseline_logit,origin_2023_04,2024-02-01,225349,1626,0.007215474663743793,0.011986781363842654,0.0067440724273312835,0.0359292754948275,2701.209193560578,1075.2091935605781,1075.2091935605781
baseline_logit,origin_2023_04,2024-03-01,227891,1652,0.0072490796038456986,0.012294612958838406,0.006791687135870737,0.036160801497900345,2801.8316418026434,1149.8316418026434,1149.8316418026434
macro_logit,origin_2023_04,2023-04-01,200066,1117,0.005583157558005858,0.01621526593139168,0.0051372943452133385,0.0316964141476164,3244.1233938298074,2127.1233938298074,2127.1233938298074
macro_logit,origin_2023_04,2023-05-01,202454,1134,0.005601272387801674,0.019624709137287685,0.0051660626535444155,0.0340474597236267,3973.1008636804413,2839.1008636804413,2839.1008636804413
macro_logit,origin_2023_04,2023-06-01,205586,1185,0.0057640111680756475,0.010545995860157316,0.005102348506436557,0.028606128795406926,2168.109104906302,983.109104906302,983.109104906302
macro_logit,origin_2023_04,2023-07-01,208458,1236,0.005929251935641712,0.011856315109769675,0.005223053007303638,0.029609232539016015,2471.543735152367,1235.543735152367,1235.543735152367
macro_logit,origin_2023_04,2023-08-01,211302,1256,0.0059440989673547814,0.018665325294379153,0.005553859142973344,0.03463282281566157,3944.0205653529038,2688.0205653529038,2688.0205653529038
macro_logit,origin_2023_04,2023-09-01,214272,1322,0.006169728195937874,0.009882627061924925,0.005411391579462726,0.02944981035033673,2117.5702658127775,795.5702658127775,795.5702658127775
macro_logit,origin_2023_04,2023-10-01,216233,1379,0.006377379955880925,0.006808787850580455,0.005614858709593142,0.02935437329933194,1472.2846232945635,93.28462329456352,93.28462329456352
macro_logit,origin_2023_04,2023-11-01,219245,1412,0.006440283700882574,0.0036629672026982757,0.005754182663902417,0.030281527241668157,803.0872443555835,-608.9127556444165,608.9127556444165
macro_logit,origin_2023_04,2023-12-01,221251,1516,0.006851946431880534,0.005176025324118502,0.005977897422525974,0.030924368233578248,1145.2007789865427,-370.7992210134573,370.7992210134573
macro_logit,origin_2023_04,2024-01-01,223304,1595,0.007142729194282234,0.011797026545478206,0.006312562642638541,0.033670090323643515,2634.3232157114653,1039.3232157114653,1039.3232157114653
