model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
macro_logit,origin_2022_04,2022-06-01,175027,835,0.0047706925217252194,0.00237238098151139,0.004452446063409834,0.025727269631253734,415.23072605099406,-419.76927394900594,419.76927394900594
macro_logit,origin_2022_04,2022-07-01,178280,850,0.004767781018622391,0.001775675437693221,0.004587672646864293,0.02690334391028604,316.56741703194746,-533.4325829680525,533.4325829680525
macro_logit,origin_2022_04,2022-08-01,181711,915,0.005035468408626885,0.004083726545565326,0.004664069759323486,0.02575495318107744,742.0580343212209,-172.94196567877907,172.94196567877907
macro_logit,origin_2022_04,2022-09-01,185055,935,0.005052551944016644,0.014034985976953594,0.0049539426066134845,0.029751000497665502,2597.2443299651472,1662.2443299651472,1662.2443299651472
macro_logit,origin_2022_04,2022-10-01,187621,966,0.00514867738685968,0.014226510631115848,0.004944660922809801,0.029435090488422338,2669.1921511205865,1703.1921511205865,1703.1921511205865
macro_logit,origin_2022_04,2022-11-01,191246,1020,0.005333444882507346,0.009522924332040925,0.004812760903452387,0.02670972470129815,1821.2211868054985,801.2211868054985,801.2211868054985
macro_logit,origin_2022_04,2022-12-01,194247,1022,0.005261342517516358,0.00907659875510508,0.00476651185231165,0.02635412392569789,1763.1020783828965,741.1020783828965,741.1020783828965
macro_logit,origin_2022_04,2023-01-01,197253,1066,0.0054042270586505655,0.03720189484899858,0.007409962695997613,0.05031771123185805,7338.1853646495165,6272.1853646495165,6272.1853646495165
macro_logit,origin_2022_04,2023-02-01,199724,1070,0.005357393202619615,0.03440467424824005,0.007259155086754249,0.04786032489957192,6871.439159555496,5801.439159555496,5801.439159555496
macro_logit,origin_2022_04,2023-03-01,202295,1105,0.0054623198793840675,0.04471309264735968,0.008551569308478882,0.057909105760485614,9045.235077097626,7940.235077097626,7940.235077097626
regime_aware_logit,origin_2022_04,2022-04-01,168901,808,0.0047838674726615,0.005757364189581479,0.0046369870388590865,0.027658512845034396,972.4245689845013,164.42456898450132,164.42456898450132
regime_aware_logit,origin_2022_04,2022-05-01,172226,814,0.004726347938174259,0.005898089876431484,0.004566901702291197,0.027272750088749662,1015.8044270582889,201.80442705828887,201.80442705828887
regime_aware_logit,origin_2022_04,2022-06-01,175027,835,0.0047706925217252194,0.006084457755756326,0.004586140959079932,0.02754122820234403,1064.9443876167625,229.94438761676247,229.94438761676247
regime_aware_logit,origin_2022_04,2022-07-01,178280,850,0.004767781018622391,0.00629760621352522,0.004746604840060611,0.027929289323341388,1122.7372357472761,272.73723574727615,272.73723574727615
regime_aware_logit,origin_2022_04,2022-08-01,181711,915,0.005035468408626885,0.006477887862817059,0.004815143899717528,0.0285535554762723,1177.1034814403506,262.1034814403506,262.1034814403506
regime_aware_logit,origin_2022_04,2022-09-01,185055,935,0.005052551944016644,0.006777223184566343,0.004881933468486444,0.028511972837263852,1254.1590364199246,319.15903641992463,319.15903641992463
regime_aware_logit,origin_2022_04,2022-10-01,187621,966,0.00514867738685968,0.007101556687844357,0.004898865355879941,0.028130346872344666,1332.401167330046,366.40116733004606,366.40116733004606
regime_aware_logit,origin_2022_04,2022-11-01,191246,1020,0.005333444882507346,0.007703435658271332,0.004969544369556869,0.028439519031507467,1473.2512559017591,453.2512559017591,453.2512559017591
regime_aware_logit,origin_2022_04,2022-12-01,194247,1022,0.005261342517516358,0.008308777737979398,0.004932719477686308,0.02841692651821965,1613.9551492692842,591.9551492692842,591.9551492692842
regime_aware_logit,origin_2022_04,2023-01-01,197253,1066,0.0054042270586505655,0.00876246887908002,0.0050652468926460845,0.02945921003924249,1728.423273805171,662.423273805171,662.423273805171
regime_aware_logit,origin_2022_04,2023-02-01,199724,1070,0.005357393202619615,0.00931771246328146,0.005166323977256318,0.02967297091019263,1860.9708040164264,790.9708040164264,790.9708040164264
regime_aware_logit,origin_2022_04,2023-03-01,202295,1105,0.0054623198793840675,0.009435951161548915,0.005165902667466018,0.030100741577413763,1908.8457402255376,803.8457402255376,803.8457402255376
baseline_logit,origin_2023_04,2023-04-01,206266,1117,0.005415337476850281,0.007204694370627381,0.005075892538723002,0.02805118986405271,1486.0834890518274,369.0834890518274,369.0834890518274
baseline_logit,origin_2023_04,2023-05-01,208682,1134,0.005434105481066887,0.00747194878913679,0.005041082289142877,0.02813388596986764,1559.2612172146435,425.26121721464347,425.26121721464347
baseline_logit,origin_2023_04,2023-06-01,211872,1183,0.005583559885213714,0.008049003963833172,0.005235981149588171,0.028970112443212386,1705.3585678252618,522.3585678252618,522.3585678252618
baseline_logit,origin_2023_04,2023-07-01,214767,1236,0.005755074103563396,0.008467440903678557,0.005336888799689299,0.02946956614223283,1818.5268805603328,582.5268805603328,582.5268805603328
baseline_logit,origin_2023_04,2023-08-01,217610,1255,0.005767198198612196,0.00875056499995217,0.005376324880069196,0.030031494220722894,1904.2104496395918,649.2104496395918,649.2104496395918
baseline_logit,origin_2023_04,2023-09-01,220569,1321,0.005989055578979821,0.009519063686416255,0.00556797822509157,0.03074964015358879,2099.610358249147,778.6103582491469,778.6103582491469
baseline_logit,origin_2023_04,2023-10-01,222564,1379,0.006195970597221473,0.00991619158894959,0.005750054819195549,0.03160242747175288,2206.9872648029764,827.9872648029764,827.9872648029764
baseline_logit,origin_2023_04,2023-11-01,225578,1412,0.006259475658087225,0.010652286219066578,0.005822528101689483,0.03199530805621215,2402.9214207246005,990.9214207246005,990.9214207246005
