model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
baseline_plus_p_stress_logit,test,2023-08,211302,1256.0,2284.3301596110678,1028.3301596110678,1028.3301596110678,0.8187342035119967,0.8187342035119967,0.0059440989673547814,0.01081073610098848,0.004866637133633699,0.004866637133633699,0.9999999999215948,1.0
baseline_plus_p_stress_logit,test,2023-09,214272,1322.0,2453.8770591300286,1131.8770591300286,1131.8770591300286,0.8561853699924573,0.8561853699924573,0.006169728195937874,0.011452159214129837,0.005282431018191964,0.005282431018191964,0.999999999776407,1.0
baseline_plus_p_stress_logit,test,2023-10,216233,1379.0,2577.337028165488,1198.337028165488,1198.337028165488,0.8689898681403103,0.8689898681403103,0.006377379955880925,0.011919258522822548,0.005541878566941623,0.005541878566941623,0.9999999999985208,1.0
baseline_plus_p_stress_logit,test,2023-11,219245,1412.0,2740.422205724274,1328.4222057242741,1328.4222057242741,0.9408089275667664,0.9408089275667664,0.006440283700882574,0.012499360102735634,0.0060590764018530596,0.0060590764018530596,0.9999998574907759,1.0
baseline_plus_p_stress_logit,test,2023-12,221251,1516.0,2913.796336818995,1397.7963368189949,1397.7963368189949,0.9220292459228199,0.9220292459228199,0.006851946431880534,0.013169641433570899,0.006317695001690365,0.006317695001690365,0.999936355129158,1.0
baseline_plus_p_stress_logit,test,2024-01,223304,1595.0,2982.7990541419313,1387.7990541419313,1387.7990541419313,0.8700934508726842,0.8700934508726842,0.007142729194282234,0.01335757108758433,0.006214841893302096,0.006214841893302096,0.999999365530501,1.0
baseline_plus_p_stress_logit,test,2024-02,225349,1626.0,3096.0294109600045,1470.0294109600045,1470.0294109600045,0.9040771285116879,0.9040771285116879,0.007215474663743793,0.013738820278590119,0.006523345614846325,0.006523345614846325,0.9999999754984987,1.0
baseline_plus_p_stress_logit,test,2024-03,227891,1652.0,3178.482298282505,1526.4822982825049,1526.4822982825049,0.9240207616722185,0.9240207616722185,0.0072490796038456986,0.013947379660813743,0.006698300056968046,0.006698300056968046,0.999999790387866,1.0
baseline_plus_p_stress_logit,test,2024-04,230753,1700.0,3267.04127251233,1567.0412725123301,1567.0412725123301,0.9217889838307824,0.9217889838307824,0.007367184825332715,0.014158174639169718,0.006790989813837004,0.006790989813837004,0.9999999993852525,1.0
baseline_plus_p_stress_logit,test,2024-05,232956,1748.0,3387.8461994303943,1639.8461994303943,1639.8461994303943,0.9381271163789441,0.9381271163789441,0.007503562904582839,0.014542858734827153,0.0070392958302443135,0.0070392958302443135,0.9999999930838859,1.0
baseline_plus_p_stress_logit,test,2024-06,234904,1761.0,3619.398845835009,1858.398845835009,1858.398845835009,1.0553088278449796,1.0553088278449796,0.00749667949460205,0.015407991544780035,0.007911312050177984,0.007911312050177984,0.99999977885505,1.0
baseline_plus_p_stress_logit,test,2024-07,236800,1771.0,3733.031152624316,1962.0311526243158,1962.0311526243158,1.1078662634806977,1.1078662634806977,0.007478885135135135,0.015764489664798632,0.008285604529663496,0.008285604529663496,0.9999999069530472,1.0
baseline_plus_p_stress_logit,test,2024-08,238580,1793.0,3820.411999073436,2027.4119990734362,2027.4119990734362,1.1307373112512193,1.1307373112512193,0.007515298851538268,0.016013127668176027,0.008497828816637758,0.008497828816637758,0.9999330869848196,1.0
baseline_plus_p_stress_logit,test,2024-09,240701,1784.0,3959.9043247864656,2175.9043247864656,2175.9043247864656,1.2196773121000368,1.2196773121000368,0.0074116850366221995,0.016451549120221627,0.009039864083599428,0.009039864083599428,0.9999029286634968,1.0
macro_logit,test,2023-04,200066,1117.0,4079.9704734618904,2962.9704734618904,2962.9704734618904,2.6526145689005287,2.6526145689005287,0.005583157558005858,0.020393122636839296,0.014809965078833438,0.014809965078833438,0.999958480201736,1.0
macro_logit,test,2023-05,202454,1134.0,5063.9660652335,3929.9660652334996,3929.9660652334996,3.4655785407702817,3.4655785407702817,0.005601272387801674,0.02501292177597627,0.019411649388174596,0.019411649388174596,0.999999899954197,1.0
macro_logit,test,2023-06,205586,1185.0,2385.3045191806377,1200.3045191806377,1200.3045191806377,1.0129152060596098,1.0129152060596098,0.0057640111680756475,0.011602465728116884,0.005838454560041237,0.005838454560041237,0.9999999744544451,1.0
macro_logit,test,2023-07,208458,1236.0,2705.7430159964897,1469.7430159964897,1469.7430159964897,1.1891124724890694,1.1891124724890694,0.005929251935641712,0.012979799364843229,0.007050547429201516,0.007050547429201516,0.9999999913803682,1.0
