fold,model,feature,standardized_coefficient
origin_2022_04,regime_aware_logit,cumulative_30_dpd_cures,-0.017576778307557106
origin_2022_04,regime_aware_logit,months_since_30_dpd_cure,0.17080503702163696
origin_2022_04,regime_aware_logit,p_stress,-0.33248698711395264
origin_2022_04,regime_aware_logit,p_stress_x_credit_score,-0.7351681590080261
origin_2022_04,regime_aware_logit,p_stress_x_original_cltv,-0.09011280536651611
origin_2022_04,regime_aware_logit,p_stress_x_original_dti,0.0030266910325735807
origin_2022_04,regime_aware_logit,p_stress_x_original_ltv,-0.0027257888577878475
origin_2022_04,regime_aware_logit,p_stress_x_original_interest_rate,0.7623424530029297
origin_2022_04,regime_aware_logit,p_stress_x_current_delinquency_months,-0.041153162717819214
origin_2022_04,regime_aware_logit,p_stress_x_recent_60_dpd_3m,0.05635873228311539
origin_2022_04,regime_aware_logit,p_stress_x_months_since_30_dpd,0.5078574419021606
origin_2023_04,baseline_logit,credit_score,-0.8965743780136108
origin_2023_04,baseline_logit,mi_percent,0.12981249392032623
origin_2023_04,baseline_logit,number_of_units,0.02045723795890808
origin_2023_04,baseline_logit,original_cltv,0.03886773809790611
origin_2023_04,baseline_logit,original_dti,-0.05317837744951248
origin_2023_04,baseline_logit,original_upb,-0.348207026720047
origin_2023_04,baseline_logit,original_ltv,0.008642563596367836
origin_2023_04,baseline_logit,original_interest_rate,-0.09552963078022003
origin_2023_04,baseline_logit,original_loan_term,1.4023072719573975
origin_2023_04,baseline_logit,number_of_borrowers,-0.2598995864391327
origin_2023_04,baseline_logit,loan_age_months,-0.41887903213500977
origin_2023_04,baseline_logit,remaining_months_to_legal_maturity,-1.5811651945114136
origin_2023_04,baseline_logit,current_actual_upb,0.7298253178596497
origin_2023_04,baseline_logit,current_interest_rate,0.5925580263137817
origin_2023_04,baseline_logit,current_delinquency_months,0.10286971926689148
origin_2023_04,baseline_logit,current_30_dpd,0.094906747341156
origin_2023_04,baseline_logit,current_60_dpd,0.08164574950933456
origin_2023_04,baseline_logit,recent_30_dpd_3m,0.14056766033172607
origin_2023_04,baseline_logit,recent_60_dpd_3m,0.07797207683324814
origin_2023_04,baseline_logit,ever_30_dpd,0.17227570712566376
origin_2023_04,baseline_logit,ever_60_dpd,-0.022547481581568718
origin_2023_04,baseline_logit,months_since_30_dpd,-0.2639194130897522
origin_2023_04,baseline_logit,months_since_60_dpd,0.12547780573368073
origin_2023_04,baseline_logit,delinquent_30_months_3m,-0.11250298470258713
origin_2023_04,baseline_logit,delinquent_30_months_6m,0.007472016848623753
origin_2023_04,baseline_logit,delinquent_30_months_12m,0.04469833895564079
