month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2021-07-01,origin_2021_04,4.4236741212195026e-144,0,1,0,101,2020-03-01
2021-08-01,origin_2021_04,1.0302835076800603e-121,0,1,0,101,2020-03-01
2021-09-01,origin_2021_04,1.3364684878930012e-109,0,1,0,101,2020-03-01
2021-10-01,origin_2021_04,3.604750197066834e-95,0,1,0,101,2020-03-01
2021-11-01,origin_2021_04,2.5666453441111583e-106,0,1,0,101,2020-03-01
2021-12-01,origin_2021_04,3.8627079552281267e-103,0,1,0,101,2020-03-01
2022-01-01,origin_2021_04,1.1732379909003581e-40,0,1,0,101,2020-03-01
2022-02-01,origin_2021_04,5.301436603243028e-68,0,1,0,101,2020-03-01
2022-03-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2014-01-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2014-02-01,origin_2022_04,0.9999981135195334,1,0,0,71,2021-03-01
2014-03-01,origin_2022_04,0.999999299028478,1,0,0,71,2021-03-01
2014-04-01,origin_2022_04,0.9999997934642786,1,0,0,71,2021-03-01
2014-05-01,origin_2022_04,0.9999999995448592,1,0,0,71,2021-03-01
2014-06-01,origin_2022_04,0.9999999948193334,1,0,0,71,2021-03-01
2014-07-01,origin_2022_04,0.9999999984443715,1,0,0,71,2021-03-01
2014-08-01,origin_2022_04,0.9999999965850859,1,0,0,71,2021-03-01
2014-09-01,origin_2022_04,0.9999997366104036,1,0,0,71,2021-03-01
2014-10-01,origin_2022_04,0.9999999996706017,1,0,0,71,2021-03-01
2014-11-01,origin_2022_04,0.9999995688821018,1,0,0,71,2021-03-01
2014-12-01,origin_2022_04,0.9999998786266986,1,0,0,71,2021-03-01
2015-01-01,origin_2022_04,0.9999999999674651,1,0,0,71,2021-03-01
2015-02-01,origin_2022_04,0.9999879351503751,1,0,0,71,2021-03-01
2015-03-01,origin_2022_04,0.9999930845636564,1,0,0,71,2021-03-01
2015-04-01,origin_2022_04,0.9999998633920488,1,0,0,71,2021-03-01
2015-05-01,origin_2022_04,0.9999386400769249,1,0,0,71,2021-03-01
2015-06-01,origin_2022_04,0.9998624830461957,1,0,0,71,2021-03-01
2015-07-01,origin_2022_04,0.9999808476931362,1,0,0,71,2021-03-01
2015-08-01,origin_2022_04,0.9999975549185438,1,0,0,71,2021-03-01
2015-09-01,origin_2022_04,0.9994281900381285,1,0,0,71,2021-03-01
2015-10-01,origin_2022_04,0.9999924603943099,1,0,0,71,2021-03-01
2015-11-01,origin_2022_04,0.9998850229608198,1,0,0,71,2021-03-01
2015-12-01,origin_2022_04,0.9996763323449382,1,0,0,71,2021-03-01
2016-01-01,origin_2022_04,0.9994974593478324,1,0,0,71,2021-03-01
2016-02-01,origin_2022_04,0.9999989097370802,1,0,0,71,2021-03-01
2016-03-01,origin_2022_04,0.9986829856965664,1,0,0,71,2021-03-01
2016-04-01,origin_2022_04,0.9997477122833933,1,0,0,71,2021-03-01
2016-05-01,origin_2022_04,0.9996764911806455,1,0,0,71,2021-03-01
2016-06-01,origin_2022_04,0.9998754613382534,1,0,0,71,2021-03-01
2016-07-01,origin_2022_04,0.9997528371869742,1,0,0,71,2021-03-01
2016-08-01,origin_2022_04,0.9980983167453583,1,0,0,71,2021-03-01
2016-09-01,origin_2022_04,0.9980576134336615,1,0,0,71,2021-03-01
2016-10-01,origin_2022_04,0.989905591986833,1,0,0,71,2021-03-01
2016-11-01,origin_2022_04,0.9999636701077479,1,0,0,71,2021-03-01
2016-12-01,origin_2022_04,0.9999999992211606,1,0,0,71,2021-03-01
2017-01-01,origin_2022_04,0.9999368261977836,1,0,0,71,2021-03-01
2017-02-01,origin_2022_04,0.9999758561244271,1,0,0,71,2021-03-01
2017-03-01,origin_2022_04,0.9999986890672772,1,0,0,71,2021-03-01
2017-04-01,origin_2022_04,0.9996140708762211,1,0,0,71,2021-03-01
2017-05-01,origin_2022_04,0.9999830840732901,1,0,0,71,2021-03-01
2017-06-01,origin_2022_04,0.9999504494266354,1,0,0,71,2021-03-01
2017-07-01,origin_2022_04,0.9999999311981199,1,0,0,71,2021-03-01
2017-08-01,origin_2022_04,0.9997268085011832,1,0,0,71,2021-03-01
2017-09-01,origin_2022_04,0.9999593904608722,1,0,0,71,2021-03-01
2017-10-01,origin_2022_04,0.9999970452432144,1,0,0,71,2021-03-01
2017-11-01,origin_2022_04,0.9999962915538232,1,0,0,71,2021-03-01
2017-12-01,origin_2022_04,0.9999999567272333,1,0,0,71,2021-03-01
2018-01-01,origin_2022_04,0.9999999999422298,1,0,0,71,2021-03-01
2018-02-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-03-01,origin_2022_04,0.9999999999996607,1,0,0,71,2021-03-01
2018-04-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-05-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-06-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-07-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-08-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-09-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-10-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-11-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2018-12-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2019-01-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2019-02-01,origin_2022_04,1.0,1,0,0,71,2021-03-01
2019-03-01,origin_2022_04,0.9999999999999911,1,0,0,71,2021-03-01
2019-04-01,origin_2022_04,0.9999999999999938,1,0,0,71,2021-03-01
2019-05-01,origin_2022_04,0.9999999999822533,1,0,0,71,2021-03-01
2019-06-01,origin_2022_04,0.9999982522466945,1,0,0,71,2021-03-01
2019-07-01,origin_2022_04,0.9999999998534559,1,0,0,71,2021-03-01
2019-08-01,origin_2022_04,0.9999639092922195,1,0,0,71,2021-03-01
2019-09-01,origin_2022_04,0.9999999999628846,1,0,0,71,2021-03-01
2019-10-01,origin_2022_04,0.9999999998902327,1,0,0,71,2021-03-01
2019-11-01,origin_2022_04,0.9999999999132883,1,0,0,71,2021-03-01
2019-12-01,origin_2022_04,0.9999999991234634,1,0,0,71,2021-03-01
2020-01-01,origin_2022_04,0.9999991463690672,1,0,0,71,2021-03-01
2020-02-01,origin_2022_04,0.9989968399539747,1,0,0,71,2021-03-01
2020-03-01,origin_2022_04,9.730179577863446e-32,0,1,0,71,2021-03-01
